Date,macd,signal,histogram
2020-04-13,-227.45384321264282,-515.8597542473688,288.40591103472593
2020-04-14,-174.7685298153483,-447.6415093609647,272.8729795456164
2020-04-16,-35.45361442070862,-365.2039303729135,329.75031595220486
2020-04-17,178.20284196449938,-256.5225759054309,434.7254178699303
2020-04-20,391.5894919305247,-126.90016233823981,518.4896542687645
2020-04-21,562.2874143605404,10.937353001516229,551.3500613590242
2020-04-22,713.6286651035916,151.4756154219313,562.1530496816604
2020-04-23,960.1595177928393,313.2123958961129,646.9471218967265
2020-04-24,1102.4026699819296,471.0504507132763,631.3522192686534
2020-04-27,1217.238157651649,620.2879921009509,596.9501655506982
2020-04-28,1309.3715094424406,758.1046955692489,551.2668138731917
2020-04-29,1350.5999587435654,876.6037482041122,473.99621053945316
2020-05-04,1407.55558188555,982.7941149403998,424.76146694515023
2020-05-06,1644.3435421035101,1115.104000373022,529.2395417304881
2020-05-07,1915.14500903093,1275.1122021046035,640.0328069263264
2020-05-08,2105.4863861503545,1441.1870389137537,664.2993472366009
2020-05-11,2254.6314948775325,1603.8759301065095,650.755564771023
2020-05-12,2457.8690416594836,1774.6745524171045,683.1944892423792
2020-05-13,2621.159210315891,1943.971483996862,677.187726319029
2020-05-14,2855.3135109975046,2126.2398893969907,729.0736216005139
2020-05-15,2950.148777787974,2291.0216670751875,659.1271107127864
2020-05-18,2982.8527756689655,2429.387888793943,553.4648868750223
2020-05-19,2958.4487537732275,2535.2000617898,423.2486919834273
2020-05-20,3089.728237999945,2646.1056970318295,443.6225409681156
2020-05-21,3253.4973126733094,2767.584020160126,485.9132925131835
2020-05-22,3496.854880435363,2913.4381922151733,583.4166882201898
2020-05-25,3983.9087596741665,3127.532305706972,856.3764539671947
2020-05-26,4352.091613668403,3372.4441672992584,979.6474463691443
2020-05-27,4438.832121912674,3585.721758221942,853.1103636907319
2020-05-28,4560.308792224721,3780.6391650224978,779.6696272022236
2020-05-29,4547.433718626184,3933.9980757432354,613.4356428829483
2020-06-01,4493.580783828162,4045.914617360221,447.66616646794046
2020-06-02,4328.1452276892305,4102.360739426023,225.7844882632071
2020-06-03,3989.024547207853,4079.6935009823897,-90.66895377453648
2020-06-04,3749.986697289867,4013.752140243885,-263.765442954018
2020-06-05,3471.868875305241,3905.3754872561567,-433.5066119509156
2020-06-08,3302.473215627193,3784.795032930364,-482.321817303171
2020-06-09,3100.132192054625,3647.8624647552165,-547.7302727005913
2020-06-10,3026.3307383489955,3523.5561194739726,-497.22538112497705
2020-06-11,2982.043779025793,3415.253651384337,-433.2098723585441
2020-06-12,2929.3968020172906,3318.0822815109277,-388.6854794936371
2020-06-15,2638.663167016137,3182.1984586119697,-543.5352915958329
2020-06-16,2548.8899411090606,3055.5367551113877,-506.6468140023271
2020-06-17,2449.507613790309,2934.330926847172,-484.8233130568633
2020-06-18,2351.7065583264484,2817.8060531430274,-466.09949481657895
2020-06-19,2248.2817250333756,2703.901187521097,-455.61946248772165
2020-06-22,2309.7889727378497,2625.078744564448,-315.2897718265981
2020-06-23,2451.7130104238386,2590.405597736326,-138.69258731248738
2020-06-24,2551.0014956715604,2582.5247773233727,-31.52328165181234
2020-06-25,2471.6064172112747,2560.341105300953,-88.73468808967846
2020-06-26,2381.235841013484,2524.5200524434595,-143.28421142997558
2020-06-29,2171.2163201632065,2453.8593059874092,-282.6429858242027
2020-06-30,1981.9279055920342,2359.4730259083344,-377.5451203163002
2020-07-01,1843.1073197531732,2256.199884677302,-413.09256492412896
2020-07-02,1969.4888286286732,2198.857673467576,-229.368844838903
2020-07-03,2182.152531267566,2195.516645027574,-13.364113760008422
2020-07-06,2428.004121297825,2242.0141402816243,185.98998101620055
2020-07-07,2753.055889882242,2344.222490201748,408.83339968049404
2020-07-08,3256.591538888475,2526.6962999390935,729.8952389493816
2020-07-09,4054.2494799744018,2832.206935946155,1222.0425440282465
2020-07-10,4632.992887036315,3192.364126164187,1440.6287608721277
2020-07-13,4977.626691577279,3549.4166392468055,1428.210052330474
2020-07-14,5046.765692951798,3848.8864499878046,1197.8792429639934
2020-07-15,4955.353050804173,4070.1797701510786,885.1732806530945
2020-07-16,4579.091259368812,4171.962067994626,407.1291913741861
2020-07-17,4280.138673379639,4193.597389071629,86.54128430801029
2020-07-20,3757.026092637352,4106.283129784773,-349.2570371474212
2020-07-21,3400.4105254730384,3965.108608922427,-564.6980834493884
2020-07-22,3114.2483514785054,3794.9365574336425,-680.6882059551372
2020-07-23,3038.7509404972807,3643.6994340463707,-604.94849354909
2020-07-24,2864.8797388396633,3487.935495005029,-623.0557561653659
2020-07-27,2728.0760368134434,3335.963603366712,-607.8875665532687
2020-07-28,2637.827255604134,3196.3363338141967,-558.5090782100629
